Ev(kJ/mol),Rv(A),x,y,z
-4.048431764828361,4.546,27.927,7.913,15.043
-9.506811062677519,3.344,27.962,9.649,13.739
-4.552329002360296,4.493,27.942,8.094,14.257
-11.877164148010122,3.099,27.951,10.057,13.556
-14.103318496449562,2.890,27.942,10.413,13.48
-14.023052619451109,2.917,27.941,10.39,13.456
-15.790191110758524,2.792,27.944,10.641,13.359
-12.653810420423964,3.036,27.947,10.182,13.513
-16.89345960834172,2.440,17.576,7.419,3.961
-17.33615569550084,2.328,17.257,8.094,4.018
-17.211805430504793,2.284,17.213,8.073,3.985
-16.756857595775326,2.461,17.623,7.312,3.942
-17.345893000506898,2.355,17.329,7.993,4.023
-16.841361506161363,2.232,17.472,7.284,3.743
-16.643441767190442,2.484,17.651,7.257,3.946
-10.389713839639963,3.427,18.471,4.808,3.261
-6.636664439622717,3.518,18.046,3.664,1.867
-10.989946351615165,3.061,18.198,4.991,3.061
-9.458889795135857,3.651,18.592,4.47,3.156
-6.415450243254345,4.124,18.628,3.44,2.42
-7.831905465647322,3.867,18.62,3.946,2.793
-9.610834899652813,3.657,18.622,4.516,3.198
-9.15652872648461,3.703,18.623,4.368,3.093
-8.990695712415507,2.624,26.879,9.596,14.9
-4.824192867897802,4.590,18.623,2.704,1.897
-6.178256528823383,3.566,17.927,3.479,1.633
-4.328541863131578,4.784,18.595,2.411,1.694
-4.010359958029869,4.979,18.633,2.171,1.526
-11.366032515126067,2.237,26.668,10.083,14.347
-9.920560597327148,3.314,27.945,9.713,13.666
-10.138353323576585,3.284,27.933,9.753,13.65
-10.573495232993695,3.235,27.931,9.832,13.623
-7.1227867966048555,3.740,27.94,9.077,13.892
-17.848892653848022,1.992,27.607,12.308,12.978
-18.455279538286238,2.012,27.597,12.199,12.989
-21.273715095219163,2.171,27.728,11.956,12.999
-7.143956220242946,4.216,19.658,10.719,6.325
-17.328946946452014,2.393,21.364,10.735,4.198
-7.413332932931041,4.102,19.735,10.682,6.218
-17.202136713089942,2.194,20.468,9.138,4.181
-14.253037246571308,2.301,19.836,10.732,4.39
-10.751456055494115,3.288,19.627,9.318,5.371
-17.342243268567504,2.371,21.345,10.736,4.167
-7.325645281448883,4.120,19.264,9.932,6.231
-7.329581275419157,4.134,19.705,10.675,6.25
-17.38763921925919,2.279,21.288,10.526,4.13
-17.11221771219078,2.167,20.662,9.461,4.194
-9.1144660595824,3.601,19.493,9.559,5.71
-17.26113178315649,2.207,21.042,10.102,4.183
-11.321546311831026,3.197,19.662,9.237,5.267
-11.744572004990326,3.128,19.716,9.23,5.199
-17.346363753154073,2.247,20.436,9.139,4.242
-7.1249304204646045,4.222,19.646,10.697,6.333
-17.1000830561999,2.466,21.3,10.706,4.298
-17.140355074870282,2.461,21.326,10.735,4.276
-8.690967610341806,3.703,19.44,9.621,5.814
-5.71630835768576,5.506,18.679,10.764,7.548
-5.795536791290239,5.228,18.926,10.853,7.282
-5.719735827687177,5.482,18.648,10.681,7.518
-5.731422343799732,5.375,18.727,10.852,7.405
-10.50868201601898,3.037,19.129,10.867,5.078
-11.984065409071626,2.819,18.796,10.869,4.791
-5.947146713025367,4.923,18.722,10.855,6.943
-5.716285708754308,5.509,18.647,10.71,7.545
-14.04998689901325,2.202,19.02,10.873,4.197
-5.7225792438420315,5.434,18.666,10.649,7.473
-5.778214525005591,5.238,18.756,10.542,7.295
-6.4743650947393645,4.551,19.405,10.765,6.67
-5.741728037674682,5.359,18.826,10.852,7.402
-17.357458643663083,2.359,20.182,8.687,4.272
-17.289193647205728,2.286,20.048,8.247,4.017
-16.903579566338635,2.174,20.234,8.564,4.022
-16.405100595136027,2.107,20.337,8.743,4.003
-16.6045603212309,2.130,20.338,8.742,4.028
-16.754827343620303,2.143,20.357,8.799,4.057
-17.30802303622368,2.417,19.992,8.308,4.201
-17.221964329398254,2.434,20.039,8.447,4.274
-17.350597781313066,2.356,20.203,8.737,4.283
-17.349343954353632,2.353,20.214,8.763,4.287
-16.982904889790937,2.484,19.941,8.372,4.3
-11.203849488537507,3.225,17.891,8.75,5.263
-8.849295363616973,3.968,18.616,8.596,6.077
-16.507502398814,2.535,19.806,8.209,4.35
-10.11638670402226,3.464,18.19,8.59,5.532
-6.201365755321134,4.756,18.94,10.217,6.858
-5.723529940703713,5.423,18.64,10.597,7.472
-8.951353661167818,3.942,18.619,8.558,6.05
-9.492930877975178,3.838,18.626,8.36,5.904
-5.927857873741526,5.106,18.645,10.212,7.215
-5.986551149778629,5.050,18.648,10.144,7.167
-14.13118117966568,2.934,19.091,6.293,3.884
-16.276874618879944,2.550,17.71,7.406,4.114
-11.38626632041229,3.200,17.947,8.583,5.23
-17.25688350474567,2.407,17.391,8.002,4.104
-12.271670946970868,3.128,19.062,7.819,5.03
-13.339835003089854,3.232,18.742,6.522,4.502
-11.810813772113988,3.132,17.814,8.723,5.151
-13.263422187363647,2.935,17.655,8.669,4.907
-13.160398820909107,3.294,18.544,6.044,4.177
-13.732061706998264,3.047,18.307,6.331,4.089
-13.07029847667718,3.338,18.634,6.776,4.802
-9.885611176214981,3.768,18.642,8.222,5.809
-13.293021374258265,3.324,18.647,6.458,4.57
-17.240304032026962,2.276,20.049,8.224,3.998
-17.31478560221317,2.321,19.983,8.016,4.001
-22.446196037342173,2.062,27.961,12.493,12.69
-18.45970956842086,2.008,28.273,12.254,12.967
-15.41471024599797,2.030,21.328,10.307,3.932
-16.706114321113002,2.111,20.953,9.837,4.13
-17.316734830794623,2.317,21.656,10.934,4.001
-14.273355301814771,2.024,21.799,10.765,3.755
-17.2862366847266,2.313,21.725,10.976,3.993
-16.669661021806437,2.447,22.161,11.689,3.88
-16.915873736602364,2.425,21.995,11.506,3.942
-16.859772587403228,2.458,22.008,11.518,3.973
-16.948882876868367,2.444,21.971,11.458,3.983
-17.139572184237945,2.411,21.884,11.31,4.002
-17.340440271995952,2.340,21.68,10.97,4.018
-13.68881324540044,2.987,22.886,12.745,3.796
-13.48514673136703,2.999,22.976,12.808,3.739
-14.877725865997945,2.516,22.706,12.527,3.387
-14.884531516543998,2.542,22.689,12.516,3.434
-16.527564297333505,2.482,22.188,11.748,3.891
-13.384306736983577,3.015,23.002,12.842,3.726
-6.6287700359802795,3.768,24.726,14.262,2.052
-8.724487123020412,3.064,24.088,13.897,1.706
-9.76026296628446,3.633,23.988,13.853,3.222
-6.462501013615493,4.100,24.937,14.39,2.42
-7.257100633473826,3.495,24.481,14.124,1.919
-6.488571174831531,3.963,24.851,14.339,2.268
-12.573880381836986,3.128,23.234,13.084,3.611
-8.351238576853206,2.714,25.022,13.062,0.866
-4.673213511905776,4.225,25.779,14.326,1.373
-8.063905207979335,2.811,25.089,13.106,1.024
-5.52755811908443,3.721,25.545,13.864,1.333
-6.350821632452691,4.131,24.98,14.416,2.392
-5.458745175310029,4.339,25.332,14.571,2.119
-4.632605331421058,4.304,25.768,14.418,1.456
-5.956331041863115,3.891,25.2,14.143,1.99
-6.036998307025341,4.198,25.093,14.48,2.311
-6.1994184854429,4.168,25.034,14.447,2.354
